"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5%File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","% Total Population: Under 5 Years","% Total Population: 5 to 9 Years","% Total Population: 10 to 14 Years","% Total Population: 15 to 17 Years","% Total Population: 18 to 24 Years","% Total Population: 25 to 34 Years","% Total Population: 35 to 44 Years","% Total Population: 45 to 54 Years","% Total Population: 55 to 64 Years","% Total Population: 65 to 74 Years","% Total Population: 75 to 84 Years","% Total Population: 85 Years and Over"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"ACSSF","ca","140","00","0004742",,,,,"06","037",,,"201110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201110","Census Tract 2011.10",,,"Census Tract 2011.10, Los Angeles County, California","06037201110","1013912","0",,,,,,,,2331,100,116,90,95,262,357,340,340,275,187,139,30,4.29,4.98,3.86,4.08,11.24,15.32,14.59,14.59,11.8,8.02,5.96,1.29
"ACSSF","ca","140","00","0004743",,,,,"06","037",,,"201120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201120","Census Tract 2011.20",,,"Census Tract 2011.20, Los Angeles County, California","06037201120","792267","0",,,,,,,,4085,268,223,226,138,583,689,379,661,438,322,82,76,6.56,5.46,5.53,3.38,14.27,16.87,9.28,16.18,10.72,7.88,2.01,1.86
"ACSSF","ca","140","00","0004744",,,,,"06","037",,,"201200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201200","Census Tract 2012",,,"Census Tract 2012, Los Angeles County, California","06037201200","440870","0",,,,,,,,2791,162,103,285,118,150,401,600,275,372,150,96,79,5.8,3.69,10.21,4.23,5.37,14.37,21.5,9.85,13.33,5.37,3.44,2.83
"ACSSF","ca","140","00","0004745",,,,,"06","037",,,"201301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201301","Census Tract 2013.01",,,"Census Tract 2013.01, Los Angeles County, California","06037201301","866189","0",,,,,,,,3650,135,326,151,27,542,492,454,413,434,298,262,116,3.7,8.93,4.14,0.74,14.85,13.48,12.44,11.32,11.89,8.16,7.18,3.18
"ACSSF","ca","140","00","0004746",,,,,"06","037",,,"201302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201302","Census Tract 2013.02",,,"Census Tract 2013.02, Los Angeles County, California","06037201302","991726","0",,,,,,,,3882,299,43,103,20,92,804,658,651,412,349,287,164,7.7,1.11,2.65,0.52,2.37,20.71,16.95,16.77,10.61,8.99,7.39,4.22
"ACSSF","ca","140","00","0004747",,,,,"06","037",,,"201401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201401","Census Tract 2014.01",,,"Census Tract 2014.01, Los Angeles County, California","06037201401","1279500","28686",,,,,,,,4458,367,123,379,238,568,876,402,569,473,229,130,104,8.23,2.76,8.5,5.34,12.74,19.65,9.02,12.76,10.61,5.14,2.92,2.33
"ACSSF","ca","140","00","0004748",,,,,"06","037",,,"201402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201402","Census Tract 2014.02",,,"Census Tract 2014.02, Los Angeles County, California","06037201402","1941232","0",,,,,,,,4464,203,231,334,95,358,603,515,538,578,422,396,191,4.55,5.17,7.48,2.13,8.02,13.51,11.54,12.05,12.95,9.45,8.87,4.28
"ACSSF","ca","140","00","0004749",,,,,"06","037",,,"201501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201501","Census Tract 2015.01",,,"Census Tract 2015.01, Los Angeles County, California","06037201501","888744","0",,,,,,,,5360,331,362,318,136,496,900,714,687,522,457,214,223,6.18,6.75,5.93,2.54,9.25,16.79,13.32,12.82,9.74,8.53,3.99,4.16
"ACSSF","ca","140","00","0004750",,,,,"06","037",,,"201503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201503","Census Tract 2015.03",,,"Census Tract 2015.03, Los Angeles County, California","06037201503","439362","0",,,,,,,,3184,241,151,157,143,347,514,401,507,332,254,75,62,7.57,4.74,4.93,4.49,10.9,16.14,12.59,15.92,10.43,7.98,2.36,1.95
"ACSSF","ca","140","00","0004751",,,,,"06","037",,,"201504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201504","Census Tract 2015.04",,,"Census Tract 2015.04, Los Angeles County, California","06037201504","368342","0",,,,,,,,2061,79,181,87,86,223,291,249,309,202,224,60,70,3.83,8.78,4.22,4.17,10.82,14.12,12.08,14.99,9.8,10.87,2.91,3.4
"ACSSF","ca","140","00","0004752",,,,,"06","037",,,"201601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201601","Census Tract 2016.01",,,"Census Tract 2016.01, Los Angeles County, California","06037201601","540413","0",,,,,,,,2401,99,98,138,111,320,396,306,230,323,190,84,106,4.12,4.08,5.75,4.62,13.33,16.49,12.74,9.58,13.45,7.91,3.5,4.41
"ACSSF","ca","140","00","0004753",,,,,"06","037",,,"201602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201602","Census Tract 2016.02",,,"Census Tract 2016.02, Los Angeles County, California","06037201602","1065765","0",,,,,,,,2936,135,197,218,98,235,413,316,443,292,319,227,43,4.6,6.71,7.43,3.34,8,14.07,10.76,15.09,9.95,10.87,7.73,1.46
"ACSSF","ca","140","00","0004754",,,,,"06","037",,,"201700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037201700","Census Tract 2017",,,"Census Tract 2017, Los Angeles County, California","06037201700","1694749","0",,,,,,,,5029,191,179,208,125,1244,772,668,589,398,301,291,63,3.8,3.56,4.14,2.49,24.74,15.35,13.28,11.71,7.91,5.99,5.79,1.25
"ACSSF","ca","140","00","0004755",,,,,"06","037",,,"203100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037203100","Census Tract 2031",,,"Census Tract 2031, Los Angeles County, California","06037203100","657447","0",,,,,,,,4576,216,513,378,259,489,705,619,613,496,122,142,24,4.72,11.21,8.26,5.66,10.69,15.41,13.53,13.4,10.84,2.67,3.1,0.52
"ACSSF","ca","140","00","0004756",,,,,"06","037",,,"203200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037203200","Census Tract 2032",,,"Census Tract 2032, Los Angeles County, California","06037203200","515982","0",,,,,,,,5339,447,409,408,246,528,997,681,829,264,293,168,69,8.37,7.66,7.64,4.61,9.89,18.67,12.76,15.53,4.94,5.49,3.15,1.29
"ACSSF","ca","140","00","0004757",,,,,"06","037",,,"203300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037203300","Census Tract 2033",,,"Census Tract 2033, Los Angeles County, California","06037203300","1489012","2852",,,,,,,,1863,53,41,91,293,637,162,138,193,130,67,30,28,2.84,2.2,4.88,15.73,34.19,8.7,7.41,10.36,6.98,3.6,1.61,1.5
"ACSSF","ca","140","00","0004758",,,,,"06","037",,,"203500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037203500","Census Tract 2035",,,"Census Tract 2035, Los Angeles County, California","06037203500","1635683","23932",,,,,,,,3048,141,106,339,82,261,468,445,488,227,254,187,50,4.63,3.48,11.12,2.69,8.56,15.35,14.6,16.01,7.45,8.33,6.14,1.64
"ACSSF","ca","140","00","0004759",,,,,"06","037",,,"203601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037203601","Census Tract 2036.01",,,"Census Tract 2036.01, Los Angeles County, California","06037203601","329988","0",,,,,,,,2694,165,178,147,72,290,492,138,317,538,164,93,100,6.12,6.61,5.46,2.67,10.76,18.26,5.12,11.77,19.97,6.09,3.45,3.71
"ACSSF","ca","140","00","0004760",,,,,"06","037",,,"203602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037203602","Census Tract 2036.02",,,"Census Tract 2036.02, Los Angeles County, California","06037203602","223414","0",,,,,,,,1844,187,52,176,29,211,362,244,245,143,60,111,24,10.14,2.82,9.54,1.57,11.44,19.63,13.23,13.29,7.75,3.25,6.02,1.3
"ACSSF","ca","140","00","0004761",,,,,"06","037",,,"203710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037203710","Census Tract 2037.10",,,"Census Tract 2037.10, Los Angeles County, California","06037203710","282072","0",,,,,,,,3516,347,193,195,129,523,565,314,597,318,188,117,30,9.87,5.49,5.55,3.67,14.87,16.07,8.93,16.98,9.04,5.35,3.33,0.85
"ACSSF","ca","140","00","0004762",,,,,"06","037",,,"203720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037203720","Census Tract 2037.20",,,"Census Tract 2037.20, Los Angeles County, California","06037203720","321042","0",,,,,,,,3882,100,309,483,182,418,683,446,427,386,305,103,40,2.58,7.96,12.44,4.69,10.77,17.59,11.49,11,9.94,7.86,2.65,1.03
"ACSSF","ca","140","00","0004763",,,,,"06","037",,,"203800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037203800","Census Tract 2038",,,"Census Tract 2038, Los Angeles County, California","06037203800","487391","0",,,,,,,,4637,300,203,258,209,791,955,414,413,500,464,69,61,6.47,4.38,5.56,4.51,17.06,20.6,8.93,8.91,10.78,10.01,1.49,1.32
"ACSSF","ca","140","00","0004764",,,,,"06","037",,,"203900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037203900","Census Tract 2039",,,"Census Tract 2039, Los Angeles County, California","06037203900","448476","0",,,,,,,,3181,272,167,174,242,223,549,495,349,331,250,71,58,8.55,5.25,5.47,7.61,7.01,17.26,15.56,10.97,10.41,7.86,2.23,1.82
"ACSSF","ca","140","00","0004765",,,,,"06","037",,,"204110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204110","Census Tract 2041.10",,,"Census Tract 2041.10, Los Angeles County, California","06037204110","603786","0",,,,,,,,3372,150,200,205,227,470,525,201,591,433,100,112,158,4.45,5.93,6.08,6.73,13.94,15.57,5.96,17.53,12.84,2.97,3.32,4.69
"ACSSF","ca","140","00","0004766",,,,,"06","037",,,"204120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204120","Census Tract 2041.20",,,"Census Tract 2041.20, Los Angeles County, California","06037204120","263402","0",,,,,,,,2638,168,256,136,162,213,319,385,400,274,145,98,82,6.37,9.7,5.16,6.14,8.07,12.09,14.59,15.16,10.39,5.5,3.71,3.11
"ACSSF","ca","140","00","0004767",,,,,"06","037",,,"204200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204200","Census Tract 2042",,,"Census Tract 2042, Los Angeles County, California","06037204200","301202","0",,,,,,,,3459,350,244,180,219,525,536,446,347,384,96,81,51,10.12,7.05,5.2,6.33,15.18,15.5,12.89,10.03,11.1,2.78,2.34,1.47
"ACSSF","ca","140","00","0004768",,,,,"06","037",,,"204300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204300","Census Tract 2043",,,"Census Tract 2043, Los Angeles County, California","06037204300","643484","0",,,,,,,,5357,307,393,412,202,669,730,518,688,490,523,275,150,5.73,7.34,7.69,3.77,12.49,13.63,9.67,12.84,9.15,9.76,5.13,2.8
"ACSSF","ca","140","00","0004769",,,,,"06","037",,,"204410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204410","Census Tract 2044.10",,,"Census Tract 2044.10, Los Angeles County, California","06037204410","296877","0",,,,,,,,2633,128,125,183,163,248,381,320,283,332,212,226,32,4.86,4.75,6.95,6.19,9.42,14.47,12.15,10.75,12.61,8.05,8.58,1.22
"ACSSF","ca","140","00","0004770",,,,,"06","037",,,"204420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204420","Census Tract 2044.20",,,"Census Tract 2044.20, Los Angeles County, California","06037204420","302058","0",,,,,,,,3088,196,228,236,149,365,349,562,404,373,77,65,84,6.35,7.38,7.64,4.83,11.82,11.3,18.2,13.08,12.08,2.49,2.1,2.72
"ACSSF","ca","140","00","0004771",,,,,"06","037",,,"204600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204600","Census Tract 2046",,,"Census Tract 2046, Los Angeles County, California","06037204600","564176","18298",,,,,,,,4092,231,270,524,137,523,475,511,590,395,247,153,36,5.65,6.6,12.81,3.35,12.78,11.61,12.49,14.42,9.65,6.04,3.74,0.88
"ACSSF","ca","140","00","0004772",,,,,"06","037",,,"204700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204700","Census Tract 2047",,,"Census Tract 2047, Los Angeles County, California","06037204700","1011060","0",,,,,,,,5224,415,367,414,169,550,934,694,725,382,274,176,124,7.94,7.03,7.92,3.24,10.53,17.88,13.28,13.88,7.31,5.25,3.37,2.37
"ACSSF","ca","140","00","0004773",,,,,"06","037",,,"204810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204810","Census Tract 2048.10",,,"Census Tract 2048.10, Los Angeles County, California","06037204810","770086","0",,,,,,,,4947,241,418,412,275,620,622,839,614,373,381,99,53,4.87,8.45,8.33,5.56,12.53,12.57,16.96,12.41,7.54,7.7,2,1.07
"ACSSF","ca","140","00","0004774",,,,,"06","037",,,"204820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204820","Census Tract 2048.20",,,"Census Tract 2048.20, Los Angeles County, California","06037204820","320144","0",,,,,,,,2242,131,202,164,120,215,406,325,176,225,125,91,62,5.84,9.01,7.31,5.35,9.59,18.11,14.5,7.85,10.04,5.58,4.06,2.77
"ACSSF","ca","140","00","0004775",,,,,"06","037",,,"204910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204910","Census Tract 2049.10",,,"Census Tract 2049.10, Los Angeles County, California","06037204910","518337","0",,,,,,,,3162,263,88,312,264,390,316,479,381,304,213,116,36,8.32,2.78,9.87,8.35,12.33,9.99,15.15,12.05,9.61,6.74,3.67,1.14
"ACSSF","ca","140","00","0004776",,,,,"06","037",,,"204920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037204920","Census Tract 2049.20",,,"Census Tract 2049.20, Los Angeles County, California","06037204920","909972","0",,,,,,,,2535,119,184,212,100,229,370,262,355,372,106,116,110,4.69,7.26,8.36,3.94,9.03,14.6,10.34,14,14.67,4.18,4.58,4.34
"ACSSF","ca","140","00","0004777",,,,,"06","037",,,"205110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037205110","Census Tract 2051.10",,,"Census Tract 2051.10, Los Angeles County, California","06037205110","286962","0",,,,,,,,3478,250,267,353,163,422,653,396,404,334,188,28,20,7.19,7.68,10.15,4.69,12.13,18.78,11.39,11.62,9.6,5.41,0.81,0.58
"ACSSF","ca","140","00","0004778",,,,,"06","037",,,"205120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037205120","Census Tract 2051.20",,,"Census Tract 2051.20, Los Angeles County, California","06037205120","1466130","0",,,,,,,,3641,351,191,490,168,426,503,531,414,288,177,74,28,9.64,5.25,13.46,4.61,11.7,13.81,14.58,11.37,7.91,4.86,2.03,0.77
"ACSSF","ca","140","00","0004779",,,,,"06","037",,,"206010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206010","Census Tract 2060.10",,,"Census Tract 2060.10, Los Angeles County, California","06037206010","1418137","20551",,,,,,,,3864,144,171,125,162,413,654,530,803,401,201,244,16,3.73,4.43,3.23,4.19,10.69,16.93,13.72,20.78,10.38,5.2,6.31,0.41
"ACSSF","ca","140","00","0004780",,,,,"06","037",,,"206020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206020","Census Tract 2060.20",,,"Census Tract 2060.20, Los Angeles County, California","06037206020","843243","30290",,,,,,,,10614,6,0,0,0,1988,3992,2386,1415,728,79,20,0,0.06,0,0,0,18.73,37.61,22.48,13.33,6.86,0.74,0.19,0
"ACSSF","ca","140","00","0004781",,,,,"06","037",,,"206050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206050","Census Tract 2060.50",,,"Census Tract 2060.50, Los Angeles County, California","06037206050","1643426","141255",,,,,,,,2194,159,121,157,136,325,223,174,263,171,226,75,164,7.25,5.52,7.16,6.2,14.81,10.16,7.93,11.99,7.79,10.3,3.42,7.47
"ACSSF","ca","140","00","0004782",,,,,"06","037",,,"206051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206051","Census Tract 2060.51",,,"Census Tract 2060.51, Los Angeles County, California","06037206051","3681803","48976",,,,,,,,1197,12,20,0,0,16,428,310,142,154,106,9,0,1,1.67,0,0,1.34,35.76,25.9,11.86,12.87,8.86,0.75,0
"ACSSF","ca","140","00","0004783",,,,,"06","037",,,"206052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206052","Census Tract 2060.52",,,"Census Tract 2060.52, Los Angeles County, California","06037206052","907764","16638",,,,,,,,3065,76,0,18,51,438,1516,578,188,152,48,0,0,2.48,0,0.59,1.66,14.29,49.46,18.86,6.13,4.96,1.57,0,0
"ACSSF","ca","140","00","0004784",,,,,"06","037",,,"206053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206053","Census Tract 2060.53",,,"Census Tract 2060.53, Los Angeles County, California","06037206053","560000","28207",,,,,,,,2973,198,241,163,62,284,418,247,353,396,181,159,271,6.66,8.11,5.48,2.09,9.55,14.06,8.31,11.87,13.32,6.09,5.35,9.12
"ACSSF","ca","140","00","0004785",,,,,"06","037",,,"206054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206054","Census Tract 2060.54",,,"Census Tract 2060.54, Los Angeles County, California","06037206054","397066","21680",,,,,,,,2397,54,182,281,182,239,498,249,313,242,91,47,19,2.25,7.59,11.72,7.59,9.97,20.78,10.39,13.06,10.1,3.8,1.96,0.79
"ACSSF","ca","140","00","0004786",,,,,"06","037",,,"206201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206201","Census Tract 2062.01",,,"Census Tract 2062.01, Los Angeles County, California","06037206201","200835","0",,,,,,,,2134,0,0,33,29,175,558,328,386,394,151,61,19,0,0,1.55,1.36,8.2,26.15,15.37,18.09,18.46,7.08,2.86,0.89
"ACSSF","ca","140","00","0004787",,,,,"06","037",,,"206202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206202","Census Tract 2062.02",,,"Census Tract 2062.02, Los Angeles County, California","06037206202","377893","0",,,,,,,,1839,88,0,0,0,15,216,374,261,228,236,268,153,4.79,0,0,0,0.82,11.75,20.34,14.19,12.4,12.83,14.57,8.32
"ACSSF","ca","140","00","0004788",,,,,"06","037",,,"206301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206301","Census Tract 2063.01",,,"Census Tract 2063.01, Los Angeles County, California","06037206301","135445","0",,,,,,,,1819,0,12,0,0,32,136,137,545,568,265,124,0,0,0.66,0,0,1.76,7.48,7.53,29.96,31.23,14.57,6.82,0
"ACSSF","ca","140","00","0004789",,,,,"06","037",,,"206302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206302","Census Tract 2063.02",,,"Census Tract 2063.02, Los Angeles County, California","06037206302","46422","0",,,,,,,,1822,5,0,0,0,114,210,242,455,593,186,0,17,0.27,0,0,0,6.26,11.53,13.28,24.97,32.55,10.21,0,0.93
"ACSSF","ca","140","00","0004790",,,,,"06","037",,,"206303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037206303","Census Tract 2063.03",,,"Census Tract 2063.03, Los Angeles County, California","06037206303","434791","0",,,,,,,,2430,0,25,0,0,110,374,484,517,641,175,49,55,0,1.03,0,0,4.53,15.39,19.92,21.28,26.38,7.2,2.02,2.26
