date_time,heat_index_high,Population,calls,heat_day,streak,Event
2018-01-01,67.80254110021495,3971896.0,1043,False,0.0,Not a Heat Event
2018-01-02,75.38521261370899,3971896.0,947,False,0.0,Not a Heat Event
2018-01-03,72.73351527224125,3971896.0,958,False,0.0,Not a Heat Event
2018-01-04,72.92500934279742,3971896.0,927,False,0.0,Not a Heat Event
2018-01-05,71.39898003718987,3971896.0,983,False,0.0,Not a Heat Event
2018-01-06,67.41934892226114,3971896.0,960,False,0.0,Not a Heat Event
2018-01-07,71.73544871963401,3971896.0,961,False,0.0,Not a Heat Event
2018-01-08,68.35155049509581,3971896.0,1053,False,0.0,Not a Heat Event
2018-01-09,62.281278320875224,3971896.0,1021,False,0.0,Not a Heat Event
2018-01-10,63.80497807277814,3971896.0,953,False,0.0,Not a Heat Event
2018-01-11,68.58814288461328,3971896.0,978,False,0.0,Not a Heat Event
2018-01-12,72.71059330366856,3971896.0,951,False,0.0,Not a Heat Event
2018-01-13,80.1211062199074,3971896.0,956,False,0.0,Not a Heat Event
2018-01-14,79.35366775177783,3971896.0,906,False,0.0,Not a Heat Event
2018-01-15,73.26399353033442,3971896.0,898,False,0.0,Not a Heat Event
2018-01-16,69.21004917100028,3971896.0,952,False,0.0,Not a Heat Event
2018-01-17,76.09258112248921,3971896.0,929,False,0.0,Not a Heat Event
2018-01-18,74.37732769985992,3971896.0,872,False,0.0,Not a Heat Event
2018-01-19,69.2715485451873,3971896.0,890,False,0.0,Not a Heat Event
2018-01-20,58.84482318370128,3971896.0,857,False,0.0,Not a Heat Event
2018-01-21,59.83398561622401,3971896.0,799,False,0.0,Not a Heat Event
2018-01-22,64.92093612442535,3971896.0,880,False,0.0,Not a Heat Event
2018-01-23,71.67938190517394,3971896.0,903,False,0.0,Not a Heat Event
2018-01-24,71.71915059845927,3971896.0,925,False,0.0,Not a Heat Event
2018-01-25,64.12935825792215,3971896.0,866,False,0.0,Not a Heat Event
2018-01-26,63.300608837161654,3971896.0,935,False,0.0,Not a Heat Event
2018-01-27,70.33469621577812,3971896.0,898,False,0.0,Not a Heat Event
2018-01-28,80.42093788138897,3971896.0,900,False,0.0,Not a Heat Event
2018-01-29,82.08068143112968,3971896.0,1031,False,0.0,Not a Heat Event
2018-01-30,79.48822464322146,3971896.0,846,False,0.0,Not a Heat Event
2018-01-31,77.70177625524377,3971896.0,958,False,0.0,Not a Heat Event
2018-02-01,75.74955932889728,3971896.0,938,False,0.0,Not a Heat Event
2018-02-02,79.46995893134465,3971896.0,998,False,0.0,Not a Heat Event
2018-02-03,77.23470818942933,3971896.0,989,False,0.0,Not a Heat Event
2018-02-04,78.53331931650949,3971896.0,971,False,0.0,Not a Heat Event
2018-02-05,74.36482793049379,3971896.0,957,False,0.0,Not a Heat Event
2018-02-06,72.00525537934459,3971896.0,893,False,0.0,Not a Heat Event
2018-02-07,79.48803026819348,3971896.0,967,False,0.0,Not a Heat Event
2018-02-08,79.25478161982315,3971896.0,968,False,0.0,Not a Heat Event
2018-02-09,74.6645972792737,3971896.0,965,False,0.0,Not a Heat Event
2018-02-10,68.30327245490089,3971896.0,891,False,0.0,Not a Heat Event
2018-02-11,68.66361190023255,3971896.0,897,False,0.0,Not a Heat Event
2018-02-12,63.336318999482934,3971896.0,919,False,0.0,Not a Heat Event
2018-02-13,62.75217867026158,3971896.0,909,False,0.0,Not a Heat Event
2018-02-14,66.07631908600446,3971896.0,925,False,0.0,Not a Heat Event
2018-02-15,68.77308261262539,3971896.0,928,False,0.0,Not a Heat Event
2018-02-16,70.99165851461666,3971896.0,951,False,0.0,Not a Heat Event
2018-02-17,71.39934473697264,3971896.0,948,False,0.0,Not a Heat Event
2018-02-18,67.7682009774613,3971896.0,892,False,0.0,Not a Heat Event
2018-02-19,59.95785566133391,3971896.0,823,False,0.0,Not a Heat Event
2018-02-20,54.59398421749816,3971896.0,889,False,0.0,Not a Heat Event
2018-02-21,56.90401332548812,3971896.0,875,False,0.0,Not a Heat Event
2018-02-22,56.8062881708445,3971896.0,877,False,0.0,Not a Heat Event
2018-02-23,54.331079646109025,3971896.0,874,False,0.0,Not a Heat Event
2018-02-24,58.2297200096243,3971896.0,881,False,0.0,Not a Heat Event
2018-02-25,65.12251896742633,3971896.0,883,False,0.0,Not a Heat Event
2018-02-26,62.81236312364973,3971896.0,862,False,0.0,Not a Heat Event
2018-02-27,56.562572331312225,3971896.0,852,False,0.0,Not a Heat Event
2018-02-28,58.287525485667025,3971896.0,900,False,0.0,Not a Heat Event
2018-03-01,59.346474272454444,3971896.0,910,False,0.0,Not a Heat Event
2018-03-02,58.618946262431535,3971896.0,1021,False,0.0,Not a Heat Event
2018-03-03,57.343736204439686,3971896.0,938,False,0.0,Not a Heat Event
2018-03-04,59.09894374141101,3971896.0,970,False,0.0,Not a Heat Event
2018-03-05,68.43230506573408,3971896.0,995,False,0.0,Not a Heat Event
2018-03-06,74.10266545012837,3971896.0,941,False,0.0,Not a Heat Event
2018-03-07,70.43968996644514,3971896.0,938,False,0.0,Not a Heat Event
2018-03-08,71.64940314407278,3971896.0,962,False,0.0,Not a Heat Event
2018-03-09,69.11352616988893,3971896.0,1017,False,0.0,Not a Heat Event
2018-03-10,63.23613188471882,3971896.0,975,False,0.0,Not a Heat Event
2018-03-11,66.5611984419166,3971896.0,912,False,0.0,Not a Heat Event
2018-03-12,70.03180122967012,3971896.0,1022,False,0.0,Not a Heat Event
2018-03-13,68.06962056033429,3971896.0,892,False,0.0,Not a Heat Event
