Census_Tract_ID,Geographic Identifier,Area Name,Qualifying Name,Area (Land),Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,% Total Population: Under 5 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over
CT_ID_TXT,Geo_GEOID,Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,SE_A01001_001,SE_A01001_002,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
06037201601,14000US06037201601,Census Tract 2016.01,"Census Tract 2016.01, Los Angeles County, California",540413,0,2401,99,190,84,106,4.12,13.45,7.91,3.5,4.41
06037201602,14000US06037201602,Census Tract 2016.02,"Census Tract 2016.02, Los Angeles County, California",1065765,0,2936,135,319,227,43,4.6,9.95,10.87,7.73,1.46
06037201700,14000US06037201700,Census Tract 2017,"Census Tract 2017, Los Angeles County, California",1694749,0,5029,191,301,291,63,3.8,7.91,5.99,5.79,1.25
06037203100,14000US06037203100,Census Tract 2031,"Census Tract 2031, Los Angeles County, California",657447,0,4576,216,122,142,24,4.72,10.84,2.67,3.1,0.52
06037203200,14000US06037203200,Census Tract 2032,"Census Tract 2032, Los Angeles County, California",515982,0,5339,447,293,168,69,8.37,4.94,5.49,3.15,1.29
06037203300,14000US06037203300,Census Tract 2033,"Census Tract 2033, Los Angeles County, California",1489012,2852,1863,53,67,30,28,2.84,6.98,3.6,1.61,1.5
06037203500,14000US06037203500,Census Tract 2035,"Census Tract 2035, Los Angeles County, California",1635683,23932,3048,141,254,187,50,4.63,7.45,8.33,6.14,1.64
06037203601,14000US06037203601,Census Tract 2036.01,"Census Tract 2036.01, Los Angeles County, California",329988,0,2694,165,164,93,100,6.12,19.97,6.09,3.45,3.71
06037203602,14000US06037203602,Census Tract 2036.02,"Census Tract 2036.02, Los Angeles County, California",223414,0,1844,187,60,111,24,10.14,7.75,3.25,6.02,1.3
06037203710,14000US06037203710,Census Tract 2037.10,"Census Tract 2037.10, Los Angeles County, California",282072,0,3516,347,188,117,30,9.87,9.04,5.35,3.33,0.85
06037203720,14000US06037203720,Census Tract 2037.20,"Census Tract 2037.20, Los Angeles County, California",321042,0,3882,100,305,103,40,2.58,9.94,7.86,2.65,1.03
06037203800,14000US06037203800,Census Tract 2038,"Census Tract 2038, Los Angeles County, California",487391,0,4637,300,464,69,61,6.47,10.78,10.01,1.49,1.32
06037203900,14000US06037203900,Census Tract 2039,"Census Tract 2039, Los Angeles County, California",448476,0,3181,272,250,71,58,8.55,10.41,7.86,2.23,1.82
06037204110,14000US06037204110,Census Tract 2041.10,"Census Tract 2041.10, Los Angeles County, California",603786,0,3372,150,100,112,158,4.45,12.84,2.97,3.32,4.69
06037204120,14000US06037204120,Census Tract 2041.20,"Census Tract 2041.20, Los Angeles County, California",263402,0,2638,168,145,98,82,6.37,10.39,5.5,3.71,3.11
06037204200,14000US06037204200,Census Tract 2042,"Census Tract 2042, Los Angeles County, California",301202,0,3459,350,96,81,51,10.12,11.1,2.78,2.34,1.47
06037204300,14000US06037204300,Census Tract 2043,"Census Tract 2043, Los Angeles County, California",643484,0,5357,307,523,275,150,5.73,9.15,9.76,5.13,2.8
06037204410,14000US06037204410,Census Tract 2044.10,"Census Tract 2044.10, Los Angeles County, California",296877,0,2633,128,212,226,32,4.86,12.61,8.05,8.58,1.22
06037204420,14000US06037204420,Census Tract 2044.20,"Census Tract 2044.20, Los Angeles County, California",302058,0,3088,196,77,65,84,6.35,12.08,2.49,2.1,2.72
06037204600,14000US06037204600,Census Tract 2046,"Census Tract 2046, Los Angeles County, California",564176,18298,4092,231,247,153,36,5.65,9.65,6.04,3.74,0.88
06037204700,14000US06037204700,Census Tract 2047,"Census Tract 2047, Los Angeles County, California",1011060,0,5224,415,274,176,124,7.94,7.31,5.25,3.37,2.37
06037204810,14000US06037204810,Census Tract 2048.10,"Census Tract 2048.10, Los Angeles County, California",770086,0,4947,241,381,99,53,4.87,7.54,7.7,2,1.07
06037204820,14000US06037204820,Census Tract 2048.20,"Census Tract 2048.20, Los Angeles County, California",320144,0,2242,131,125,91,62,5.84,10.04,5.58,4.06,2.77
06037204910,14000US06037204910,Census Tract 2049.10,"Census Tract 2049.10, Los Angeles County, California",518337,0,3162,263,213,116,36,8.32,9.61,6.74,3.67,1.14
06037204920,14000US06037204920,Census Tract 2049.20,"Census Tract 2049.20, Los Angeles County, California",909972,0,2535,119,106,116,110,4.69,14.67,4.18,4.58,4.34
06037205110,14000US06037205110,Census Tract 2051.10,"Census Tract 2051.10, Los Angeles County, California",286962,0,3478,250,188,28,20,7.19,9.6,5.41,0.81,0.58
06037205120,14000US06037205120,Census Tract 2051.20,"Census Tract 2051.20, Los Angeles County, California",1466130,0,3641,351,177,74,28,9.64,7.91,4.86,2.03,0.77
06037206010,14000US06037206010,Census Tract 2060.10,"Census Tract 2060.10, Los Angeles County, California",1418137,20551,3864,144,201,244,16,3.73,10.38,5.2,6.31,0.41
06037206020,14000US06037206020,Census Tract 2060.20,"Census Tract 2060.20, Los Angeles County, California",843243,30290,10614,6,79,20,0,0.06,6.86,0.74,0.19,0
06037206050,14000US06037206050,Census Tract 2060.50,"Census Tract 2060.50, Los Angeles County, California",1643426,141255,2194,159,226,75,164,7.25,7.79,10.3,3.42,7.47
06037206051,14000US06037206051,Census Tract 2060.51,"Census Tract 2060.51, Los Angeles County, California",3681803,48976,1197,12,106,9,0,1,12.87,8.86,0.75,0
06037206052,14000US06037206052,Census Tract 2060.52,"Census Tract 2060.52, Los Angeles County, California",907764,16638,3065,76,48,0,0,2.48,4.96,1.57,0,0
06037206053,14000US06037206053,Census Tract 2060.53,"Census Tract 2060.53, Los Angeles County, California",560000,28207,2973,198,181,159,271,6.66,13.32,6.09,5.35,9.12
06037206054,14000US06037206054,Census Tract 2060.54,"Census Tract 2060.54, Los Angeles County, California",397066,21680,2397,54,91,47,19,2.25,10.1,3.8,1.96,0.79
06037206201,14000US06037206201,Census Tract 2062.01,"Census Tract 2062.01, Los Angeles County, California",200835,0,2134,0,151,61,19,0,18.46,7.08,2.86,0.89
06037206202,14000US06037206202,Census Tract 2062.02,"Census Tract 2062.02, Los Angeles County, California",377893,0,1839,88,236,268,153,4.79,12.4,12.83,14.57,8.32
06037206301,14000US06037206301,Census Tract 2063.01,"Census Tract 2063.01, Los Angeles County, California",135445,0,1819,0,265,124,0,0,31.23,14.57,6.82,0
06037206302,14000US06037206302,Census Tract 2063.02,"Census Tract 2063.02, Los Angeles County, California",46422,0,1822,5,186,0,17,0.27,32.55,10.21,0,0.93
06037206303,14000US06037206303,Census Tract 2063.03,"Census Tract 2063.03, Los Angeles County, California",434791,0,2430,0,175,49,55,0,26.38,7.2,2.02,2.26
06037207101,14000US06037207101,Census Tract 2071.01,"Census Tract 2071.01, Los Angeles County, California",300183,0,4054,373,218,188,101,9.2,9.32,5.38,4.64,2.49
06037207102,14000US06037207102,Census Tract 2071.02,"Census Tract 2071.02, Los Angeles County, California",415045,0,3103,34,295,212,166,1.1,10.18,9.51,6.83,5.35
06037207103,14000US06037207103,Census Tract 2071.03,"Census Tract 2071.03, Los Angeles County, California",324130,0,2055,69,284,156,35,3.36,9.64,13.82,7.59,1.7
06037207303,14000US06037207303,Census Tract 2073.03,"Census Tract 2073.03, Los Angeles County, California",177016,0,2242,0,179,185,42,0,8.34,7.98,8.25,1.87
06037207304,14000US06037207304,Census Tract 2073.04,"Census Tract 2073.04, Los Angeles County, California",50317,0,2101,21,241,0,0,1,20.13,11.47,0,0
06037207305,14000US06037207305,Census Tract 2073.05,"Census Tract 2073.05, Los Angeles County, California",202772,0,717,0,0,0,0,0,5.44,0,0,0
06037207306,14000US06037207306,Census Tract 2073.06,"Census Tract 2073.06, Los Angeles County, California",161373,0,1978,0,224,14,0,0,10.16,11.32,0.71,0
06037207307,14000US06037207307,Census Tract 2073.07,"Census Tract 2073.07, Los Angeles County, California",48861,0,1461,0,36,0,0,0,24.3,2.46,0,0
06037207308,14000US06037207308,Census Tract 2073.08,"Census Tract 2073.08, Los Angeles County, California",45914,0,1288,0,29,0,0,0,3.26,2.25,0,0
06037207400,14000US06037207400,Census Tract 2074,"Census Tract 2074, Los Angeles County, California",862957,6458,2122,152,107,11,13,7.16,3.58,5.04,0.52,0.61
06037207501,14000US06037207501,Census Tract 2075.01,"Census Tract 2075.01, Los Angeles County, California",134327,0,2022,76,117,8,7,3.76,8.01,5.79,0.4,0.35
06037207502,14000US06037207502,Census Tract 2075.02,"Census Tract 2075.02, Los Angeles County, California",418380,0,3317,74,246,794,498,2.23,7.39,7.42,23.94,15.01
06037207711,14000US06037207711,Census Tract 2077.11,"Census Tract 2077.11, Los Angeles County, California",693947,0,1881,0,33,38,5,0,7.6,1.75,2.02,0.27
06037207712,14000US06037207712,Census Tract 2077.12,"Census Tract 2077.12, Los Angeles County, California",407275,0,3947,107,272,53,295,2.71,4.89,6.89,1.34,7.47
06037207901,14000US06037207901,Census Tract 2079.01,"Census Tract 2079.01, Los Angeles County, California",203283,0,2991,0,61,98,66,0,6.75,2.04,3.28,2.21
06037207902,14000US06037207902,Census Tract 2079.02,"Census Tract 2079.02, Los Angeles County, California",699776,0,6236,140,45,0,0,2.25,4.86,0.72,0,0
06037208001,14000US06037208001,Census Tract 2080.01,"Census Tract 2080.01, Los Angeles County, California",575976,0,2248,52,0,40,0,2.31,11.17,0,1.78,0
06037208002,14000US06037208002,Census Tract 2080.02,"Census Tract 2080.02, Los Angeles County, California",395184,0,4545,332,96,225,20,7.3,9.55,2.11,4.95,0.44
06037208301,14000US06037208301,Census Tract 2083.01,"Census Tract 2083.01, Los Angeles County, California",92955,0,2068,83,37,36,20,4.01,6,1.79,1.74,0.97
06037208302,14000US06037208302,Census Tract 2083.02,"Census Tract 2083.02, Los Angeles County, California",439970,0,5007,312,400,106,50,6.23,5.67,7.99,2.12,1
06037208401,14000US06037208401,Census Tract 2084.01,"Census Tract 2084.01, Los Angeles County, California",229676,0,4217,151,287,222,135,3.58,12.47,6.81,5.26,3.2
06037208402,14000US06037208402,Census Tract 2084.02,"Census Tract 2084.02, Los Angeles County, California",340750,0,2856,187,169,40,85,6.55,11.17,5.92,1.4,2.98
06037208501,14000US06037208501,Census Tract 2085.01,"Census Tract 2085.01, Los Angeles County, California",243219,0,2590,91,189,73,85,3.51,12.47,7.3,2.82,3.28
06037208502,14000US06037208502,Census Tract 2085.02,"Census Tract 2085.02, Los Angeles County, California",261043,0,3993,301,414,126,3,7.54,13.32,10.37,3.16,0.08
06037208610,14000US06037208610,Census Tract 2086.10,"Census Tract 2086.10, Los Angeles County, California",350131,0,4382,281,262,168,21,6.41,11.5,5.98,3.83,0.48
06037208620,14000US06037208620,Census Tract 2086.20,"Census Tract 2086.20, Los Angeles County, California",324331,0,4010,321,291,112,67,8,10.3,7.26,2.79,1.67
06037208710,14000US06037208710,Census Tract 2087.10,"Census Tract 2087.10, Los Angeles County, California",170380,0,4846,187,512,285,110,3.86,12.71,10.57,5.88,2.27
06037208720,14000US06037208720,Census Tract 2087.20,"Census Tract 2087.20, Los Angeles County, California",164736,0,3602,129,191,59,38,3.58,9.72,5.3,1.64,1.05
06037208801,14000US06037208801,Census Tract 2088.01,"Census Tract 2088.01, Los Angeles County, California",234245,34211,3198,51,310,158,122,1.59,8.26,9.69,4.94,3.81
06037208802,14000US06037208802,Census Tract 2088.02,"Census Tract 2088.02, Los Angeles County, California",211495,0,2864,192,198,127,36,6.7,8.34,6.91,4.43,1.26
06037208902,14000US06037208902,Census Tract 2089.02,"Census Tract 2089.02, Los Angeles County, California",184049,0,2529,145,44,49,12,5.73,5.14,1.74,1.94,0.47
06037208903,14000US06037208903,Census Tract 2089.03,"Census Tract 2089.03, Los Angeles County, California",159288,0,3758,295,93,101,41,7.85,7.32,2.47,2.69,1.09
06037208904,14000US06037208904,Census Tract 2089.04,"Census Tract 2089.04, Los Angeles County, California",112106,0,4197,259,255,223,70,6.17,8.03,6.08,5.31,1.67
06037209103,14000US06037209103,Census Tract 2091.03,"Census Tract 2091.03, Los Angeles County, California",124015,0,3797,347,169,82,20,9.14,7.74,4.45,2.16,0.53
06037209104,14000US06037209104,Census Tract 2091.04,"Census Tract 2091.04, Los Angeles County, California",69958,0,2489,131,245,91,45,5.26,8.44,9.84,3.66,1.81
06037209105,14000US06037209105,Census Tract 2091.05,"Census Tract 2091.05, Los Angeles County, California",83227,0,3496,331,253,93,0,9.47,5.49,7.24,2.66,0
06037209106,14000US06037209106,Census Tract 2091.06,"Census Tract 2091.06, Los Angeles County, California",221625,0,2382,161,111,55,43,6.76,4.11,4.66,2.31,1.81
06037209201,14000US06037209201,Census Tract 2092.01,"Census Tract 2092.01, Los Angeles County, California",168180,0,3036,151,38,37,27,4.97,3.39,1.25,1.22,0.89
06037209202,14000US06037209202,Census Tract 2092.02,"Census Tract 2092.02, Los Angeles County, California",243018,0,1621,195,9,0,0,12.03,5.61,0.56,0,0
06037209300,14000US06037209300,Census Tract 2093,"Census Tract 2093, Los Angeles County, California",306315,0,4619,461,158,69,7,9.98,15.8,3.42,1.49,0.15
06037209401,14000US06037209401,Census Tract 2094.01,"Census Tract 2094.01, Los Angeles County, California",215668,0,3956,91,513,109,127,2.3,12.26,12.97,2.76,3.21
06037209402,14000US06037209402,Census Tract 2094.02,"Census Tract 2094.02, Los Angeles County, California",136231,0,4062,284,286,72,9,6.99,7.85,7.04,1.77,0.22
06037209403,14000US06037209403,Census Tract 2094.03,"Census Tract 2094.03, Los Angeles County, California",138195,0,4420,57,461,192,52,1.29,10.48,10.43,4.34,1.18
06037209510,14000US06037209510,Census Tract 2095.10,"Census Tract 2095.10, Los Angeles County, California",182484,0,2946,66,188,56,32,2.24,9.23,6.38,1.9,1.09
06037209520,14000US06037209520,Census Tract 2095.20,"Census Tract 2095.20, Los Angeles County, California",231175,0,2678,285,124,0,19,10.64,8.18,4.63,0,0.71
06037209810,14000US06037209810,Census Tract 2098.10,"Census Tract 2098.10, Los Angeles County, California",149829,0,2646,157,283,108,133,5.93,10.73,10.7,4.08,5.03
06037209820,14000US06037209820,Census Tract 2098.20,"Census Tract 2098.20, Los Angeles County, California",179107,0,2741,202,153,75,0,7.37,5.18,5.58,2.74,0
06037210010,14000US06037210010,Census Tract 2100.10,"Census Tract 2100.10, Los Angeles County, California",408974,0,3336,192,291,126,78,5.76,11.06,8.72,3.78,2.34
06037211000,14000US06037211000,Census Tract 2110,"Census Tract 2110, Los Angeles County, California",2656762,0,5204,271,704,175,62,5.21,14.47,13.53,3.36,1.19
06037211121,14000US06037211121,Census Tract 2111.21,"Census Tract 2111.21, Los Angeles County, California",213925,0,2228,97,129,25,75,4.35,8.66,5.79,1.12,3.37
06037211122,14000US06037211122,Census Tract 2111.22,"Census Tract 2111.22, Los Angeles County, California",365557,0,2750,93,78,118,26,3.38,4.47,2.84,4.29,0.95
06037211123,14000US06037211123,Census Tract 2111.23,"Census Tract 2111.23, Los Angeles County, California",172032,0,1513,0,87,33,81,0,11.04,5.75,2.18,5.35
06037211124,14000US06037211124,Census Tract 2111.24,"Census Tract 2111.24, Los Angeles County, California",395043,0,4292,167,466,71,81,3.89,24.63,10.86,1.65,1.89
06037211201,14000US06037211201,Census Tract 2112.01,"Census Tract 2112.01, Los Angeles County, California",139369,0,2602,68,139,62,38,2.61,7.96,5.34,2.38,1.46
06037211202,14000US06037211202,Census Tract 2112.02,"Census Tract 2112.02, Los Angeles County, California",179169,0,2334,142,187,51,47,6.08,8.95,8.01,2.19,2.01
06037211310,14000US06037211310,Census Tract 2113.10,"Census Tract 2113.10, Los Angeles County, California",143939,0,3507,136,211,12,47,3.88,12.95,6.02,0.34,1.34
06037211320,14000US06037211320,Census Tract 2113.20,"Census Tract 2113.20, Los Angeles County, California",186272,0,3399,435,234,53,0,12.8,13.15,6.88,1.56,0
06037211410,14000US06037211410,Census Tract 2114.10,"Census Tract 2114.10, Los Angeles County, California",270793,0,3017,149,368,37,40,4.94,15.31,12.2,1.23,1.33
06037211420,14000US06037211420,Census Tract 2114.20,"Census Tract 2114.20, Los Angeles County, California",381085,0,3451,198,225,90,7,5.74,9.74,6.52,2.61,0.2
06037211500,14000US06037211500,Census Tract 2115,"Census Tract 2115, Los Angeles County, California",909039,0,4069,279,291,125,91,6.86,22.63,7.15,3.07,2.24
06037211701,14000US06037211701,Census Tract 2117.01,"Census Tract 2117.01, Los Angeles County, California",651516,0,2563,73,227,277,200,2.85,15.22,8.86,10.81,7.8
06037211703,14000US06037211703,Census Tract 2117.03,"Census Tract 2117.03, Los Angeles County, California",184109,0,4589,288,362,64,78,6.28,9.04,7.89,1.39,1.7
06037211704,14000US06037211704,Census Tract 2117.04,"Census Tract 2117.04, Los Angeles County, California",184945,0,2704,84,191,314,71,3.11,12.94,7.06,11.61,2.63
06037211802,14000US06037211802,Census Tract 2118.02,"Census Tract 2118.02, Los Angeles County, California",325416,0,4457,126,382,173,55,2.83,10.79,8.57,3.88,1.23
06037211803,14000US06037211803,Census Tract 2118.03,"Census Tract 2118.03, Los Angeles County, California",139528,0,3326,185,273,17,29,5.56,11.91,8.21,0.51,0.87
06037211804,14000US06037211804,Census Tract 2118.04,"Census Tract 2118.04, Los Angeles County, California",185958,0,3113,119,148,101,49,3.82,13.62,4.75,3.24,1.57
06037211910,14000US06037211910,Census Tract 2119.10,"Census Tract 2119.10, Los Angeles County, California",137966,0,4075,157,207,64,59,3.85,7.68,5.08,1.57,1.45
06037211921,14000US06037211921,Census Tract 2119.21,"Census Tract 2119.21, Los Angeles County, California",92665,0,2261,211,53,63,31,9.33,11.32,2.34,2.79,1.37
06037211922,14000US06037211922,Census Tract 2119.22,"Census Tract 2119.22, Los Angeles County, California",92893,0,3674,299,186,108,0,8.14,10.94,5.06,2.94,0
06037212101,14000US06037212101,Census Tract 2121.01,"Census Tract 2121.01, Los Angeles County, California",185776,0,2694,74,287,0,22,2.75,9.24,10.65,0,0.82
06037212102,14000US06037212102,Census Tract 2121.02,"Census Tract 2121.02, Los Angeles County, California",138659,0,2574,255,229,186,95,9.91,5.36,8.9,7.23,3.69
06037212202,14000US06037212202,Census Tract 2122.02,"Census Tract 2122.02, Los Angeles County, California",206471,0,3258,112,200,48,22,3.44,7.83,6.14,1.47,0.68
06037212203,14000US06037212203,Census Tract 2122.03,"Census Tract 2122.03, Los Angeles County, California",106312,0,2577,6,111,188,217,0.23,7.88,4.31,7.3,8.42
06037212204,14000US06037212204,Census Tract 2122.04,"Census Tract 2122.04, Los Angeles County, California",213185,0,2948,163,181,121,0,5.53,7.5,6.14,4.1,0
06037212303,14000US06037212303,Census Tract 2123.03,"Census Tract 2123.03, Los Angeles County, California",155649,0,3941,267,143,0,0,6.77,9.59,3.63,0,0
06037212304,14000US06037212304,Census Tract 2123.04,"Census Tract 2123.04, Los Angeles County, California",205676,0,1602,64,82,41,40,4,4.99,5.12,2.56,2.5
06037212305,14000US06037212305,Census Tract 2123.05,"Census Tract 2123.05, Los Angeles County, California",108058,0,2781,171,106,56,11,6.15,7.66,3.81,2.01,0.4
06037212306,14000US06037212306,Census Tract 2123.06,"Census Tract 2123.06, Los Angeles County, California",161926,0,3086,206,188,84,0,6.68,9.53,6.09,2.72,0
06037212410,14000US06037212410,Census Tract 2124.10,"Census Tract 2124.10, Los Angeles County, California",157191,0,4134,347,265,29,45,8.39,5.78,6.41,0.7,1.09
06037212420,14000US06037212420,Census Tract 2124.20,"Census Tract 2124.20, Los Angeles County, California",143454,0,3226,268,164,142,55,8.31,8.49,5.08,4.4,1.7
06037212501,14000US06037212501,Census Tract 2125.01,"Census Tract 2125.01, Los Angeles County, California",79596,0,1864,77,127,61,15,4.13,7.4,6.81,3.27,0.8
06037212502,14000US06037212502,Census Tract 2125.02,"Census Tract 2125.02, Los Angeles County, California",285085,0,2785,81,183,35,110,2.91,9.37,6.57,1.26,3.95
06037212610,14000US06037212610,Census Tract 2126.10,"Census Tract 2126.10, Los Angeles County, California",357157,0,4046,75,237,180,71,1.85,13.67,5.86,4.45,1.75
06037212620,14000US06037212620,Census Tract 2126.20,"Census Tract 2126.20, Los Angeles County, California",288619,0,3994,203,318,180,17,5.08,13.09,7.96,4.51,0.43
06037212701,14000US06037212701,Census Tract 2127.01,"Census Tract 2127.01, Los Angeles County, California",469617,0,2203,70,343,197,58,3.18,13.35,15.57,8.94,2.63
06037212702,14000US06037212702,Census Tract 2127.02,"Census Tract 2127.02, Los Angeles County, California",880616,0,3591,211,321,186,109,5.88,19.33,8.94,5.18,3.04
06037212800,14000US06037212800,Census Tract 2128,"Census Tract 2128, Los Angeles County, California",781275,0,3377,163,577,144,77,4.83,15.55,17.09,4.26,2.28
06037212900,14000US06037212900,Census Tract 2129,"Census Tract 2129, Los Angeles County, California",373620,0,3945,94,294,142,62,2.38,15.44,7.45,3.6,1.57
06037213100,14000US06037213100,Census Tract 2131,"Census Tract 2131, Los Angeles County, California",537044,0,2922,109,161,166,99,3.73,14.72,5.51,5.68,3.39
06037213201,14000US06037213201,Census Tract 2132.01,"Census Tract 2132.01, Los Angeles County, California",334942,0,4018,185,282,229,42,4.6,11.67,7.02,5.7,1.05
06037213202,14000US06037213202,Census Tract 2132.02,"Census Tract 2132.02, Los Angeles County, California",337924,0,3818,113,348,110,67,2.96,17.84,9.11,2.88,1.75
06037213310,14000US06037213310,Census Tract 2133.10,"Census Tract 2133.10, Los Angeles County, California",312089,0,2536,67,261,16,16,2.64,16.05,10.29,0.63,0.63
06037213320,14000US06037213320,Census Tract 2133.20,"Census Tract 2133.20, Los Angeles County, California",311438,0,2456,92,211,125,69,3.75,18.97,8.59,5.09,2.81
06037213401,14000US06037213401,Census Tract 2134.01,"Census Tract 2134.01, Los Angeles County, California",196100,0,4630,153,319,50,41,3.3,10.78,6.89,1.08,0.89
06037213402,14000US06037213402,Census Tract 2134.02,"Census Tract 2134.02, Los Angeles County, California",391846,0,4712,244,286,162,0,5.18,9.4,6.07,3.44,0
06037214000,14000US06037214000,Census Tract 2140,"Census Tract 2140, Los Angeles County, California",1011538,0,3953,300,382,128,54,7.59,12.35,9.66,3.24,1.37
06037214100,14000US06037214100,Census Tract 2141,"Census Tract 2141, Los Angeles County, California",1108280,0,3532,168,398,130,58,4.76,14.5,11.27,3.68,1.64
06037214400,14000US06037214400,Census Tract 2144,"Census Tract 2144, Los Angeles County, California",344250,0,3065,205,68,19,18,6.69,10.18,2.22,0.62,0.59
06037214501,14000US06037214501,Census Tract 2145.01,"Census Tract 2145.01, Los Angeles County, California",752344,0,3609,253,221,77,20,7.01,6.12,6.12,2.13,0.55
06037214503,14000US06037214503,Census Tract 2145.03,"Census Tract 2145.03, Los Angeles County, California",232314,0,3273,189,304,90,40,5.77,7.67,9.29,2.75,1.22
06037214504,14000US06037214504,Census Tract 2145.04,"Census Tract 2145.04, Los Angeles County, California",133811,0,3647,266,92,24,87,7.29,9.05,2.52,0.66,2.39
06037214505,14000US06037214505,Census Tract 2145.05,"Census Tract 2145.05, Los Angeles County, California",124378,0,1258,14,18,105,0,1.11,3.02,1.43,8.35,0
06037214600,14000US06037214600,Census Tract 2146,"Census Tract 2146, Los Angeles County, California",581187,0,2273,83,135,80,174,3.65,7.44,5.94,3.52,7.66
06037214700,14000US06037214700,Census Tract 2147,"Census Tract 2147, Los Angeles County, California",593341,0,2307,93,297,152,50,4.03,14.43,12.87,6.59,2.17
06037214800,14000US06037214800,Census Tract 2148,"Census Tract 2148, Los Angeles County, California",577069,0,2653,159,222,94,142,5.99,9.31,8.37,3.54,5.35
06037214902,14000US06037214902,Census Tract 2149.02,"Census Tract 2149.02, Los Angeles County, California",507191,0,2391,165,201,113,113,6.9,7.03,8.41,4.73,4.73
06037214903,14000US06037214903,Census Tract 2149.03,"Census Tract 2149.03, Los Angeles County, California",136477,0,1522,0,38,86,126,0,24.57,2.5,5.65,8.28
06037214904,14000US06037214904,Census Tract 2149.04,"Census Tract 2149.04, Los Angeles County, California",176200,0,1340,0,171,0,50,0,13.36,12.76,0,3.73
06037215101,14000US06037215101,Census Tract 2151.01,"Census Tract 2151.01, Los Angeles County, California",351656,3300,2845,188,98,6,20,6.61,8.44,3.44,0.21,0.7
06037215102,14000US06037215102,Census Tract 2151.02,"Census Tract 2151.02, Los Angeles County, California",257742,0,3110,214,115,19,0,6.88,1.77,3.7,0.61,0
06037216100,14000US06037216100,Census Tract 2161,"Census Tract 2161, Los Angeles County, California",675030,0,2003,117,280,143,0,5.84,19.27,13.98,7.14,0
06037216201,14000US06037216201,Census Tract 2162.01,"Census Tract 2162.01, Los Angeles County, California",461879,0,2386,65,66,34,5,2.72,19.28,2.77,1.42,0.21
06037216202,14000US06037216202,Census Tract 2162.02,"Census Tract 2162.02, Los Angeles County, California",502543,0,2564,129,238,29,50,5.03,12.4,9.28,1.13,1.95
06037216301,14000US06037216301,Census Tract 2163.01,"Census Tract 2163.01, Los Angeles County, California",563878,0,1519,78,344,122,54,5.13,7.37,22.65,8.03,3.55
06037216302,14000US06037216302,Census Tract 2163.02,"Census Tract 2163.02, Los Angeles County, California",708984,0,3009,99,219,92,36,3.29,12.4,7.28,3.06,1.2
06037216401,14000US06037216401,Census Tract 2164.01,"Census Tract 2164.01, Los Angeles County, California",411515,0,3621,167,258,57,82,4.61,7.73,7.13,1.57,2.26
06037216402,14000US06037216402,Census Tract 2164.02,"Census Tract 2164.02, Los Angeles County, California",229443,0,2621,150,249,118,65,5.72,10.53,9.5,4.5,2.48
06037216700,14000US06037216700,Census Tract 2167,"Census Tract 2167, Los Angeles County, California",777948,0,3322,69,246,175,45,2.08,16.07,7.41,5.27,1.35
06037216800,14000US06037216800,Census Tract 2168,"Census Tract 2168, Los Angeles County, California",739832,0,3175,264,242,65,96,8.31,15.53,7.62,2.05,3.02
06037216901,14000US06037216901,Census Tract 2169.01,"Census Tract 2169.01, Los Angeles County, California",703173,0,2624,74,167,225,99,2.82,17.53,6.36,8.57,3.77
06037216902,14000US06037216902,Census Tract 2169.02,"Census Tract 2169.02, Los Angeles County, California",391386,0,2145,119,136,43,109,5.55,9.18,6.34,2,5.08
06037217001,14000US06037217001,Census Tract 2170.01,"Census Tract 2170.01, Los Angeles County, California",548535,0,2749,223,168,149,27,8.11,8.95,6.11,5.42,0.98
06037217002,14000US06037217002,Census Tract 2170.02,"Census Tract 2170.02, Los Angeles County, California",771339,0,4514,343,297,235,59,7.6,7.31,6.58,5.21,1.31
06037217101,14000US06037217101,Census Tract 2171.01,"Census Tract 2171.01, Los Angeles County, California",395918,0,2820,153,117,46,0,5.43,11.81,4.15,1.63,0
06037217102,14000US06037217102,Census Tract 2171.02,"Census Tract 2171.02, Los Angeles County, California",501915,0,2799,226,340,84,17,8.07,18.19,12.15,3,0.61
06037217200,14000US06037217200,Census Tract 2172,"Census Tract 2172, Los Angeles County, California",919065,0,3839,214,519,191,23,5.57,9.95,13.52,4.98,0.6
06037218110,14000US06037218110,Census Tract 2181.10,"Census Tract 2181.10, Los Angeles County, California",598606,0,3562,184,283,102,59,5.17,12.55,7.94,2.86,1.66
06037218120,14000US06037218120,Census Tract 2181.20,"Census Tract 2181.20, Los Angeles County, California",445213,0,3749,311,302,94,50,8.3,13.52,8.06,2.51,1.33
06037218210,14000US06037218210,Census Tract 2182.10,"Census Tract 2182.10, Los Angeles County, California",388481,0,3660,105,236,46,26,2.87,13.17,6.45,1.26,0.71
06037218220,14000US06037218220,Census Tract 2182.20,"Census Tract 2182.20, Los Angeles County, California",672776,0,3848,208,322,108,72,5.41,13.38,8.37,2.81,1.87
