Census_Tract_ID,Geographic Identifier,Area Name,Qualifying Name,Area (Land),Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,% Total Population: Under 5 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over
CT_ID_TXT,Geo_GEOID,Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,SE_A01001_001,SE_A01001_002,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
06037121020,14000US06037121020,Census Tract 1210.20,"Census Tract 1210.20, Los Angeles County, California",824528,0,3626,227,257,75,16,6.26,11,7.09,2.07,0.44
06037121101,14000US06037121101,Census Tract 1211.01,"Census Tract 1211.01, Los Angeles County, California",472252,0,3088,177,163,50,36,5.73,14.93,5.28,1.62,1.17
06037121102,14000US06037121102,Census Tract 1211.02,"Census Tract 1211.02, Los Angeles County, California",7462900,76989,2273,100,165,167,47,4.4,13.77,7.26,7.35,2.07
06037121210,14000US06037121210,Census Tract 1212.10,"Census Tract 1212.10, Los Angeles County, California",1997365,29714,3109,110,377,159,95,3.54,11.13,12.13,5.11,3.06
06037121221,14000US06037121221,Census Tract 1212.21,"Census Tract 1212.21, Los Angeles County, California",504267,0,2329,89,282,27,28,3.82,12.02,12.11,1.16,1.2
06037121222,14000US06037121222,Census Tract 1212.22,"Census Tract 1212.22, Los Angeles County, California",1334916,0,4808,217,229,70,61,4.51,13.02,4.76,1.46,1.27
06037121600,14000US06037121600,Census Tract 1216,"Census Tract 1216, Los Angeles County, California",1139500,0,2745,75,276,105,29,2.73,14.57,10.05,3.83,1.06
06037121801,14000US06037121801,Census Tract 1218.01,"Census Tract 1218.01, Los Angeles County, California",485689,0,3374,144,199,78,0,4.27,9.01,5.9,2.31,0
06037121802,14000US06037121802,Census Tract 1218.02,"Census Tract 1218.02, Los Angeles County, California",950694,0,3017,265,222,88,10,8.78,11.2,7.36,2.92,0.33
06037121900,14000US06037121900,Census Tract 1219,"Census Tract 1219, Los Angeles County, California",1687532,0,3548,128,224,98,20,3.61,9.08,6.31,2.76,0.56
06037122000,14000US06037122000,Census Tract 1220,"Census Tract 1220, Los Angeles County, California",2984176,278728,4940,160,653,214,93,3.24,8.72,13.22,4.33,1.88
06037122120,14000US06037122120,Census Tract 1221.20,"Census Tract 1221.20, Los Angeles County, California",719822,0,5342,146,494,116,32,2.73,9.27,9.25,2.17,0.6
06037122121,14000US06037122121,Census Tract 1221.21,"Census Tract 1221.21, Los Angeles County, California",411960,0,2815,121,218,40,25,4.3,13.75,7.74,1.42,0.89
06037122122,14000US06037122122,Census Tract 1221.22,"Census Tract 1221.22, Los Angeles County, California",1017265,15394,2556,228,184,46,35,8.92,7.63,7.2,1.8,1.37
06037122200,14000US06037122200,Census Tract 1222,"Census Tract 1222, Los Angeles County, California",1704850,0,3662,234,214,100,24,6.39,14.61,5.84,2.73,0.66
06037122410,14000US06037122410,Census Tract 1224.10,"Census Tract 1224.10, Los Angeles County, California",706992,0,3615,183,238,71,54,5.06,13.58,6.58,1.96,1.49
06037122420,14000US06037122420,Census Tract 1224.20,"Census Tract 1224.20, Los Angeles County, California",862724,0,5077,155,187,119,43,3.05,11.96,3.68,2.34,0.85
06037123010,14000US06037123010,Census Tract 1230.10,"Census Tract 1230.10, Los Angeles County, California",1015841,0,4112,214,245,103,62,5.2,10.12,5.96,2.5,1.51
06037123020,14000US06037123020,Census Tract 1230.20,"Census Tract 1230.20, Los Angeles County, California",565646,0,2783,56,184,78,58,2.01,12.4,6.61,2.8,2.08
06037123103,14000US06037123103,Census Tract 1231.03,"Census Tract 1231.03, Los Angeles County, California",900961,1374,3997,103,219,68,62,2.58,11.23,5.48,1.7,1.55
06037123104,14000US06037123104,Census Tract 1231.04,"Census Tract 1231.04, Los Angeles County, California",781696,0,4565,245,304,130,38,5.37,14.26,6.66,2.85,0.83
06037123203,14000US06037123203,Census Tract 1232.03,"Census Tract 1232.03, Los Angeles County, California",583709,3900,3089,150,204,35,25,4.86,15.96,6.6,1.13,0.81
06037123204,14000US06037123204,Census Tract 1232.04,"Census Tract 1232.04, Los Angeles County, California",324207,0,3281,131,108,64,0,3.99,11.8,3.29,1.95,0
06037123205,14000US06037123205,Census Tract 1232.05,"Census Tract 1232.05, Los Angeles County, California",757734,0,2767,212,115,72,0,7.66,11.24,4.16,2.6,0
06037123206,14000US06037123206,Census Tract 1232.06,"Census Tract 1232.06, Los Angeles County, California",602849,0,2289,114,210,48,41,4.98,11.97,9.17,2.1,1.79
06037123301,14000US06037123301,Census Tract 1233.01,"Census Tract 1233.01, Los Angeles County, California",1303485,0,4302,241,435,205,51,5.6,13.85,10.11,4.77,1.19
06037123303,14000US06037123303,Census Tract 1233.03,"Census Tract 1233.03, Los Angeles County, California",633407,0,2996,173,217,112,21,5.77,10.65,7.24,3.74,0.7
06037123304,14000US06037123304,Census Tract 1233.04,"Census Tract 1233.04, Los Angeles County, California",879083,0,4467,185,548,465,203,4.14,11.17,12.27,10.41,4.54
06037123410,14000US06037123410,Census Tract 1234.10,"Census Tract 1234.10, Los Angeles County, California",488725,8391,3826,212,236,40,40,5.54,11.11,6.17,1.05,1.05
06037123420,14000US06037123420,Census Tract 1234.20,"Census Tract 1234.20, Los Angeles County, California",778593,8123,4731,240,446,113,0,5.07,13.11,9.43,2.39,0
