date_time,stid,relative_humidity_high,air_temp_high,heat_index_high,relative_humidity_low,air_temp_low,heat_index_low,lon,lat,geometry
2018-01-01,KBUR,100.0,73.94,72.12298999999999,22.35,44.6,42.072089999999996,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-02,KBUR,82.14,80.96,79.29248,12.73,51.8,49.594,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-03,KBUR,52.3,75.2,74.11247,16.05,53.6,50.30359,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-04,KBUR,50.37,75.2,74.23091000000001,18.57,51.8,49.03376,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-05,KBUR,93.65,73.4,73.11665,40.92,53.6,52.77578999999999,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-06,KBUR,93.8,69.98,69.54876000000002,55.0,57.2,56.74425000000001,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-07,KBUR,100.0,75.2,74.00061,31.39,50.0,49.400000000000006,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-08,KBUR,100.0,73.4,72.63866000000002,46.78,60.08,59.8394,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-09,KBUR,100.0,62.6,62.194509999999994,77.33,51.8,51.38,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-10,KBUR,100.0,64.94,63.99254,59.3,44.6,43.46,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-11,KBUR,100.0,71.96,71.10306999999997,45.94,46.4,45.440000000000005,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-12,KBUR,93.6,80.6,79.3611,19.84,48.2,46.822160000000004,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-13,KBUR,80.81,82.4,80.08352858159105,16.2,48.2,46.05136,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-14,KBUR,63.34,82.4,79.96644821145621,13.78,51.8,49.594,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-15,KBUR,71.08,80.6,79.16746,15.97,48.2,46.05136,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-16,KBUR,79.49,71.96,70.39054999999998,30.53,51.08,49.62403,-118.36538,34.19967,POINT (-118.36538 34.19967)
2018-01-17,KBUR,86.2,80.6,79.3611,19.84,50.0,48.53567,-118.36538,34.19967,POINT (-118.36538 34.19967)
